[2022-07-21 16:31:38:1417][restartedMain] INFO  c.n.rental.NexenExportsApplication - Starting NexenExportsApplication using Java 1.8.0_321 on L10165007 with PID 30896 (C:\source_dev_test\repository\nexen_exports\nexen_exports\target\classes started by Nexen in C:\source_dev_test\repository\nexen_exports\nexen_exports)
[2022-07-21 16:31:41:4317][restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-07-21 16:31:42:4993][restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 18080 (http)
[2022-07-21 16:31:42:5010][restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-18080"]
[2022-07-21 16:31:42:5012][restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2022-07-21 16:31:42:5012][restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
[2022-07-21 16:31:43:5437][restartedMain] INFO  o.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
[2022-07-21 16:31:43:5447][restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2022-07-21 16:31:43:5447][restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3905 ms
[2022-07-21 16:31:45:7492][restartedMain] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: d5d9718d-61d9-4d24-8459-ed0113caeafd

[2022-07-21 16:31:45:7908][restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
[2022-07-21 16:31:45:8134][restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain - Will not secure any request
[2022-07-21 16:31:46:8594][restartedMain] WARN  o.t.templatemode.TemplateMode - [THYMELEAF][restartedMain] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
[2022-07-21 16:31:46:9007][restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
[2022-07-21 16:31:46:9034][restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-18080"]
[2022-07-21 16:31:46:9110][restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 18080 (http) with context path ''
[2022-07-21 16:31:46:9126][restartedMain] INFO  c.n.rental.NexenExportsApplication - Started NexenExportsApplication in 8.624 seconds (JVM running for 11.834)
[2022-07-21 16:34:30:173070][http-nio-18080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2022-07-21 16:34:30:173071][http-nio-18080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[2022-07-21 16:34:30:173073][http-nio-18080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
[2022-07-21 16:34:42:185207][http-nio-18080-exec-3] INFO  c.nexentire.rental.cm.JwtController - token발급 시작...
[2022-07-21 16:34:42:185208][http-nio-18080-exec-3] INFO  c.nexentire.rental.cm.JwtController - =========================================================================
[2022-07-21 16:34:42:185208][http-nio-18080-exec-3] INFO  c.nexentire.rental.cm.JwtController - ID:kstka
[2022-07-21 16:34:43:186399][http-nio-18080-exec-3] INFO  c.nexentire.rental.cm.JwtController - ACCESS_TOKEN:eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJyTzBBQlhRQUJXdHpkR3RoIiwiaXNzIjoibmV4ZW5fZXhwb3J0cyIsImlhdCI6MTY1ODM4ODg4MiwiZXhwIjoxNjU4NDc1MjgyfQ.xTZCo09oT7tpBwCC6kTm1D8AwT2jc6m6oPWFi8chMwWHZ8rMghvQ7HMyV8T1WfSVlItlm8_MxHGAqNqbfGlVfg
[2022-07-21 16:34:43:186400][http-nio-18080-exec-3] INFO  c.nexentire.rental.cm.JwtController - REFRESH_TOKEN:eyJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE2NTgzODg4ODMsImV4cCI6MTY2MDk4MDg4M30.edtmsyOAw8DPZvOpcUsX1AOretM0gbfSJ9NMyVATPF4
[2022-07-21 16:34:43:186400][http-nio-18080-exec-3] INFO  c.nexentire.rental.cm.JwtController - =========================================================================
[2022-07-21 16:34:43:186400][http-nio-18080-exec-3] INFO  c.nexentire.rental.cm.JwtController - token발급완료
[2022-07-21 16:37:56:378981][RMI TCP Connection(8)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
[2022-07-21 16:38:06:1543][restartedMain] INFO  c.n.rental.NexenExportsApplication - Starting NexenExportsApplication using Java 1.8.0_321 on L10165007 with PID 31488 (C:\source_dev_test\repository\nexen_exports\nexen_exports\target\classes started by Nexen in C:\source_dev_test\repository\nexen_exports\nexen_exports)
[2022-07-21 16:38:06:1546][restartedMain] INFO  c.n.rental.NexenExportsApplication - No active profile set, falling back to 1 default profile: "default"
[2022-07-21 16:38:06:1694][restartedMain] INFO  o.s.b.d.restart.ChangeableUrls - The Class-Path manifest attribute in C:\Users\Administrator\.m2\repository\com\oracle\database\jdbc\ojdbc8\21.1.0.0\ojdbc8-21.1.0.0.jar referenced one or more files that do not exist: file:/C:/Users/Administrator/.m2/repository/com/oracle/database/jdbc/ojdbc8/21.1.0.0/oraclepki.jar
[2022-07-21 16:38:06:1695][restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
[2022-07-21 16:38:06:1695][restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
[2022-07-21 16:38:07:2904][restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[2022-07-21 16:38:07:2906][restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2022-07-21 16:38:07:2944][restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
[2022-07-21 16:38:08:3307][restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[2022-07-21 16:38:08:3307][restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2022-07-21 16:38:08:3334][restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26 ms. Found 0 Redis repository interfaces.
[2022-07-21 16:38:09:4652][restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@addef0' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-07-21 16:38:09:4662][restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-07-21 16:38:10:5425][restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 18080 (http)
[2022-07-21 16:38:10:5444][restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-18080"]
[2022-07-21 16:38:10:5445][restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2022-07-21 16:38:10:5445][restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
[2022-07-21 16:38:10:5832][restartedMain] INFO  o.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
[2022-07-21 16:38:10:5842][restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2022-07-21 16:38:10:5843][restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4147 ms
[2022-07-21 16:38:12:7435][restartedMain] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 1ff1b417-d190-46b9-8acf-dedd853f9d00

[2022-07-21 16:38:12:7781][restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
[2022-07-21 16:38:12:7982][restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain - Will not secure any request
[2022-07-21 16:38:13:8357][restartedMain] WARN  o.t.templatemode.TemplateMode - [THYMELEAF][restartedMain] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
[2022-07-21 16:38:13:8773][restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
[2022-07-21 16:38:13:8802][restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-18080"]
[2022-07-21 16:38:13:8863][restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 18080 (http) with context path ''
[2022-07-21 16:38:13:8879][restartedMain] INFO  c.n.rental.NexenExportsApplication - Started NexenExportsApplication in 8.308 seconds (JVM running for 11.332)
[2022-07-21 16:39:01:56650][http-nio-18080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2022-07-21 16:39:01:56651][http-nio-18080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[2022-07-21 16:39:01:56654][http-nio-18080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
[2022-07-21 16:39:10:66011][http-nio-18080-exec-1] INFO  c.nexentire.rental.cm.JwtController - token발급 시작...
[2022-07-21 16:39:10:66012][http-nio-18080-exec-1] INFO  c.nexentire.rental.cm.JwtController - =========================================================================
[2022-07-21 16:39:10:66013][http-nio-18080-exec-1] INFO  c.nexentire.rental.cm.JwtController - ID:kstka
[2022-07-21 16:39:12:67263][http-nio-18080-exec-1] INFO  c.nexentire.rental.cm.JwtController - ACCESS_TOKEN:eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJyTzBBQlhRQUJXdHpkR3RoIiwiaXNzIjoibmV4ZW5fZXhwb3J0cyIsImlhdCI6MTY1ODM4OTE1MCwiZXhwIjoxNjU4NDc1NTUwfQ.Ii8bfL8SVUeV5IpnGlgP2Q0OuPNtY7t9nU9NIQ9_a2YWOGMgYMaI-XYOKnYwl30OtPDMq7cY7r4ArZkCcdDQ7g
[2022-07-21 16:39:12:67263][http-nio-18080-exec-1] INFO  c.nexentire.rental.cm.JwtController - REFRESH_TOKEN:eyJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE2NTgzODkxNTIsImV4cCI6MTY2MDk4MTE1Mn0.w2jlxrgqfU5kO6OATLAsv4d2HVE57WRpSJvV8yOmHQ8
[2022-07-21 16:39:12:67264][http-nio-18080-exec-1] INFO  c.nexentire.rental.cm.JwtController - =========================================================================
[2022-07-21 16:39:12:67264][http-nio-18080-exec-1] INFO  c.nexentire.rental.cm.JwtController - token발급완료
[2022-07-21 16:40:48:163294][restartedMain] INFO  c.n.rental.NexenExportsApplication - Starting NexenExportsApplication using Java 1.8.0_321 on L10165007 with PID 31488 (C:\source_dev_test\repository\nexen_exports\nexen_exports\target\classes started by Nexen in C:\source_dev_test\repository\nexen_exports\nexen_exports)
[2022-07-21 16:40:48:163295][restartedMain] INFO  c.n.rental.NexenExportsApplication - No active profile set, falling back to 1 default profile: "default"
[2022-07-21 16:40:48:163874][restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[2022-07-21 16:40:48:163874][restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2022-07-21 16:40:48:163879][restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 Redis repository interfaces.
[2022-07-21 16:40:48:163950][restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[2022-07-21 16:40:48:163950][restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2022-07-21 16:40:48:163987][restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 36 ms. Found 0 Redis repository interfaces.
[2022-07-21 16:40:49:164188][restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@52c43133' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-07-21 16:40:49:164190][restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-07-21 16:40:49:164279][restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 18080 (http)
[2022-07-21 16:40:49:164280][restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-18080"]
[2022-07-21 16:40:49:164281][restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2022-07-21 16:40:49:164281][restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
[2022-07-21 16:40:49:164437][restartedMain] INFO  o.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
[2022-07-21 16:40:49:164444][restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2022-07-21 16:40:49:164446][restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1137 ms
[2022-07-21 16:40:49:164743][restartedMain] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 77d973f2-990e-45d4-b372-75e3e87198f4

[2022-07-21 16:40:49:164796][restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
[2022-07-21 16:40:49:164900][restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain - Will not secure any request
[2022-07-21 16:40:49:165016][restartedMain] WARN  o.t.templatemode.TemplateMode - [THYMELEAF][restartedMain] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
[2022-07-21 16:40:50:165128][restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
[2022-07-21 16:40:50:165152][restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-18080"]
[2022-07-21 16:40:50:165173][restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 18080 (http) with context path ''
[2022-07-21 16:40:50:165198][restartedMain] INFO  c.n.rental.NexenExportsApplication - Started NexenExportsApplication in 2.063 seconds (JVM running for 167.65)
[2022-07-21 16:40:50:165205][restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
[2022-07-21 16:40:55:170334][http-nio-18080-exec-7] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2022-07-21 16:40:55:170335][http-nio-18080-exec-7] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[2022-07-21 16:40:55:170337][http-nio-18080-exec-7] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
[2022-07-21 16:40:58:173936][http-nio-18080-exec-7] INFO  c.nexentire.rental.cm.JwtController - token발급 시작...
[2022-07-21 16:40:58:173936][http-nio-18080-exec-7] INFO  c.nexentire.rental.cm.JwtController - =========================================================================
[2022-07-21 16:40:58:173937][http-nio-18080-exec-7] INFO  c.nexentire.rental.cm.JwtController - ID:kstka
[2022-07-21 16:40:58:173943][http-nio-18080-exec-7] INFO  c.nexentire.rental.cm.JwtController - ACCESS_TOKEN:eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJyTzBBQlhRQUJXdHpkR3RoIiwiaXNzIjoibmV4ZW5fZXhwb3J0cyIsImlhdCI6MTY1ODM4OTI1OCwiZXhwIjoxNjU4Mzg5MjU5fQ.amfMkIeoVt1k0dKt1ipIjYbUVoBHnA6nLO49-DDR9pYeC5Y-bFLv7UU-6prs2XwiKO9Kr-MLVrfLEJjh7sVd3Q
[2022-07-21 16:40:58:173943][http-nio-18080-exec-7] INFO  c.nexentire.rental.cm.JwtController - REFRESH_TOKEN:eyJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE2NTgzODkyNTgsImV4cCI6MTY2MDk4MTI1OH0.5-3lcOKj2YCNWNjLHzozBjr0QKNIYhhgHzZnNa7R5yE
[2022-07-21 16:40:58:173944][http-nio-18080-exec-7] INFO  c.nexentire.rental.cm.JwtController - =========================================================================
[2022-07-21 16:40:58:173946][http-nio-18080-exec-7] INFO  c.nexentire.rental.cm.JwtController - token발급완료
[2022-07-21 16:44:28:383854][restartedMain] INFO  c.n.rental.NexenExportsApplication - Starting NexenExportsApplication using Java 1.8.0_321 on L10165007 with PID 31488 (C:\source_dev_test\repository\nexen_exports\nexen_exports\target\classes started by Nexen in C:\source_dev_test\repository\nexen_exports\nexen_exports)
[2022-07-21 16:44:28:383855][restartedMain] INFO  c.n.rental.NexenExportsApplication - No active profile set, falling back to 1 default profile: "default"
[2022-07-21 16:44:29:384369][restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[2022-07-21 16:44:29:384370][restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2022-07-21 16:44:29:384374][restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 3 ms. Found 0 Redis repository interfaces.
[2022-07-21 16:44:29:384432][restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
[2022-07-21 16:44:29:384432][restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2022-07-21 16:44:29:384458][restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 26 ms. Found 0 Redis repository interfaces.
[2022-07-21 16:44:29:384621][restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@142e13bc' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-07-21 16:44:29:384622][restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[2022-07-21 16:44:29:384696][restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 18080 (http)
[2022-07-21 16:44:29:384697][restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-18080"]
[2022-07-21 16:44:29:384697][restartedMain] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
[2022-07-21 16:44:29:384697][restartedMain] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.58]
[2022-07-21 16:44:29:384941][restartedMain] INFO  o.apache.jasper.servlet.TldScanner - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
[2022-07-21 16:44:29:384945][restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[2022-07-21 16:44:29:384946][restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1078 ms
[2022-07-21 16:44:30:385502][restartedMain] INFO  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 3bbab303-2ffc-4f2b-8772-063a33ad3ab6

[2022-07-21 16:44:30:385591][restartedMain] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
[2022-07-21 16:44:30:385764][restartedMain] INFO  o.s.s.w.DefaultSecurityFilterChain - Will not secure any request
[2022-07-21 16:44:30:385870][restartedMain] WARN  o.t.templatemode.TemplateMode - [THYMELEAF][restartedMain] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
[2022-07-21 16:44:30:385974][restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
[2022-07-21 16:44:30:385989][restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-18080"]
[2022-07-21 16:44:30:386013][restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 18080 (http) with context path ''
[2022-07-21 16:44:30:386019][restartedMain] INFO  c.n.rental.NexenExportsApplication - Started NexenExportsApplication in 2.359 seconds (JVM running for 388.471)
[2022-07-21 16:44:30:386021][restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
[2022-07-21 16:44:36:391419][http-nio-18080-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[2022-07-21 16:44:36:391420][http-nio-18080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[2022-07-21 16:44:36:391421][http-nio-18080-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
[2022-07-21 16:44:41:396738][http-nio-18080-exec-1] INFO  c.nexentire.rental.cm.JwtController - token발급 시작...
[2022-07-21 16:44:41:396740][http-nio-18080-exec-1] INFO  c.nexentire.rental.cm.JwtController - =========================================================================
[2022-07-21 16:44:41:396741][http-nio-18080-exec-1] INFO  c.nexentire.rental.cm.JwtController - ID:kstka
[2022-07-21 16:44:41:396745][http-nio-18080-exec-1] INFO  c.nexentire.rental.cm.JwtController - ACCESS_TOKEN:eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJyTzBBQlhRQUJXdHpkR3RoIiwiaXNzIjoibmV4ZW5fZXhwb3J0cyIsImlhdCI6MTY1ODM4OTQ4MSwiZXhwIjoxNjU4Mzg5NDgyfQ.ZOa6ZcI55ktFa4uTgmDK2Ue-qySA8DEZhC3WmFJE-iY07eAk0bza0WWVVaZfn3m5YOvGMyH43M7-fKD7FGq2fw
[2022-07-21 16:44:41:396746][http-nio-18080-exec-1] INFO  c.nexentire.rental.cm.JwtController - REFRESH_TOKEN:eyJhbGciOiJIUzI1NiJ9.eyJpYXQiOjE2NTgzODk0ODEsImV4cCI6MTY2MDk4MTQ4MX0.lV5_GXbXVRcc0gepCiANWxxVnvwV07l5vwuStXWUdDE
[2022-07-21 16:44:41:396746][http-nio-18080-exec-1] INFO  c.nexentire.rental.cm.JwtController - =========================================================================
[2022-07-21 16:44:41:396748][http-nio-18080-exec-1] INFO  c.nexentire.rental.cm.JwtController - token발급완료
[2022-07-21 16:44:50:406057][http-nio-18080-exec-2] ERROR c.n.rental.util.jwt.JwtTokenUtil - JWT token is expired: JWT expired at 2022-07-21T16:44:42Z. Current time: 2022-07-21T16:44:50Z, a difference of 8938 milliseconds.  Allowed clock skew: 0 milliseconds.
